path,scope,role
README.md,current package,repository documentation and reproduction instructions
LICENSE,repository,CC0 1.0 Universal license retained from the prior repository state
CITATION.cff,current package,citation metadata
requirements.txt,current package,pinned Python dependencies
scft_curvature_completion.py,current completed action,exact certificate plus 42-mode numerical response generator
coupling_input.json,current completed action,inherited decimal coupling input and exact coefficient provenance
exact_checks.json,current completed action,16 exact symbolic checks and endpoint certificate
numerical_summary.json,current completed action,numerical convergence residual and integrator-comparison summary
loaded_background.csv,current completed action,8001-node reconstructed loaded background
endpoint_spectrum.csv,current completed action,corrected endpoint kinetic and restoring spectrum
response_summary.csv,current completed action,42-mode response summary
response_00.csv,current completed action,representative fine response mode 0
response_24.csv,current completed action,representative fine response mode 24
response_30.csv,current completed action,representative fine response mode 30
response_35.csv,current completed action,representative fine response mode 35
response_38.csv,current completed action,representative fine response mode 38
response_41.csv,current completed action,representative fine response mode 41
all_responses.npz,current completed action,all 42 fine responses shape 42x1001x15
inherited_background_figure.csv,inherited figure data,broad-range homogeneous figure coordinates extracted from supplied TeX and not recomputed here
DATA_DICTIONARY.md,current package,column and field definitions
PROVENANCE.json,current package,environment provenance and proof-status boundary
VALIDATION_REPORT.json,current package,reproduction verification summary
MANIFEST_SHA256.txt,current package,SHA-256 integrity manifest
ZENODO_METADATA.md,current package,suggested archival metadata
